event_time;symbol;timeframe;origin;signal_class;direction;signal_entry_price;signal_exit_time;signal_exit_price;signal_move_pts;signal_duration_bars;signal_result;signal_exit_reason;position_exit_time;position_exit_price;position_move_pts;position_duration_bars;position_result;position_exit_reason;executed;skip_reason;block_reason;bre_reason;atr;spread;ema_fast;slow_ma;ma_gap_pts;slow_angle_deg;vline_state;vline_dir;sw_state;sw_score;adx;di_plus;di_minus;sl;tp1;tp2;tp3;tp4;tp5
2025.12.31 20:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;SELL;4325.74;2026.01.02 01:00:00;4340.99;-1525.0;1;LOSS;NEXT_SIGNAL;;;;;;;YES;;;;14.15;43;4326.24;4326.53;-29.3;0.0;NO_DATA;NONE;OFF;0.87;15.58;10.62;12.21;4343.43;4311.59;4297.44;4283.29;4269.15;4255.00
2026.01.02 01:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;BUY;4340.99;2026.01.02 15:30:00;4365.85;2486.0;29;WIN;NEXT_SIGNAL;2026.01.02 16:00:00;4365.84;2485.0;30;WIN;REV;YES;;;;14.83;34;4329.51;4328.18;133.7;14.0;BEAR;SELL;OFF;0.87;17.99;21.32;10.58;4322.45;4355.82;4370.65;4385.48;4400.30;4415.13
2026.01.02 15:30:00;XAUUSD;PERIOD_M30;LIVE;VALID;SELL;4365.85;2026.01.05 01:00:00;4366.75;-90.0;17;LOSS;NEXT_SIGNAL;2026.01.05 01:30:00;4367.04;-119.0;18;LOSS;REV;YES;;;;10.00;34;4382.51;4384.86;-234.7;-14.0;BEAR;SELL;OFF;0.88;39.61;16.46;27.93;4378.35;4355.85;4345.86;4335.86;4325.86;4315.86
2026.01.05 01:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;BUY;4366.75;2026.01.05 14:00:00;4415.67;4892.0;26;WIN;NEXT_SIGNAL;2026.01.05 14:30:00;4415.66;4891.0;27;WIN;REV;YES;;;;12.70;34;4336.93;4332.37;456.2;14.0;BULL NOISE;BUY;OFF;0.86;30.20;29.36;11.60;4350.88;4379.45;4392.14;4404.84;4417.53;4430.23
2026.01.05 14:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;SELL;4415.67;2026.01.05 17:00:00;4444.57;-2890.0;6;LOSS;NEXT_SIGNAL;2026.01.05 17:30:00;4444.78;-2911.0;7;LOSS;REV;YES;;;;10.42;34;4422.91;4423.14;-22.4;0.0;BULL;BUY;OFF;0.92;49.89;18.42;12.81;4428.70;4405.25;4394.83;4384.41;4373.99;4363.57
2026.01.05 17:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;BUY;4444.57;2026.01.06 02:00:00;4440.67;-390.0;16;LOSS;NEXT_SIGNAL;2026.01.06 02:30:01;4440.63;-394.0;17;LOSS;REV;YES;;;;13.84;34;4426.42;4424.02;240.1;14.0;BULL;BUY;OFF;0.82;36.08;32.56;13.56;4427.28;4458.40;4472.24;4486.07;4499.91;4513.74
2026.01.06 02:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;SELL;4440.67;2026.01.06 04:00:00;4460.20;-1953.0;4;LOSS;NEXT_SIGNAL;2026.01.06 04:30:00;4460.46;-1979.0;5;LOSS;REV;YES;;;;9.54;34;4443.62;4443.73;-10.8;0.0;BULL;BUY;OFF;0.67;23.51;20.73;16.02;4452.59;4431.13;4421.60;4412.06;4402.52;4392.99
2026.01.06 04:00:00;XAUUSD;PERIOD_M30;LIVE;VALID;BUY;4460.20;2026.01.06 11:30:00;4446.27;-1393.0;15;LOSS;NEXT_SIGNAL;2026.01.06 12:00:00;4446.36;-1384.0;16;LOSS;REV;YES;;;;10.45;34;4446.56;4444.86;169.9;14.0;BULL;BUY;OFF;0.80;19.30;25.85;14.31;4447.13;4470.65;4481.11;4491.56;4502.02;4512.47
2026.01.06 11:30:00;XAUUSD;PERIOD_M30;LIVE;VALID;SELL;4446.27;2026.01.06 14:30:00;4463.56;-1729.0;6;LOSS;NEXT_SIGNAL;2026.01.06 15:00:00;4463.91;-1764.0;7;LOSS;REV;YES;;;;10.76;34;4459.16;4460.75;-158.3;-14.0;BULL NOISE;BUY;OFF;0.84;24.37;17.18;25.31;4459.72;4435.51;4424.76;4414.00;4403.24;4392.48
2026.01.06 14:30:00;XAUUSD;PERIOD_M30;LIVE;VALID;BUY;4463.56;2026.01.07 03:00:00;4477.07;1351.0;23;WIN;NEXT_SIGNAL;2026.01.07 03:30:00;4477.12;1356.0;24;WIN;REV;YES;;;;9.80;34;4460.03;4459.96;6.9;0.0;BULL;BUY;OFF;0.88;21.05;23.10;16.98;4451.31;4473.36;4483.15;4492.95;4502.75;4512.54
