event_time;symbol;timeframe;origin;signal_class;direction;signal_entry_price;signal_exit_time;signal_exit_price;signal_move_pts;signal_duration_bars;signal_result;signal_exit_reason;position_exit_time;position_exit_price;position_move_pts;position_duration_bars;position_result;position_exit_reason;executed;skip_reason;block_reason;bre_reason;atr;spread;ema_fast;slow_ma;ma_gap_pts;slow_angle_deg;vline_state;vline_dir;sw_state;sw_score;adx;di_plus;di_minus;sl;tp1;tp2;tp3;tp4;tp5
2026.01.02 01:15:00;XAUUSD;PERIOD_M15;LIVE;VALID;BUY;4340.99;2026.01.02 09:15:00;4373.80;3281.0;32;WIN;NEXT_SIGNAL;2026.01.02 09:30:00;4373.73;3274.0;33;WIN;REV;YES;;;;9.97;34;4329.40;4328.63;76.5;0.0;NO_DATA;NONE;OFF;0.82;20.20;26.66;9.18;4328.53;4350.96;4360.93;4370.90;4380.87;4390.84
2026.01.02 09:15:00;XAUUSD;PERIOD_M15;LIVE;VALID;SELL;4373.80;2026.01.02 09:45:00;4382.72;-892.0;2;LOSS;NEXT_SIGNAL;2026.01.02 10:00:00;4383.04;-924.0;3;LOSS;REV;YES;;;;4.96;34;4375.59;4375.69;-10.1;0.0;BEAR;SELL;OFF;0.89;38.52;15.04;10.88;4379.99;4368.84;4363.89;4358.93;4353.98;4349.02
2026.01.02 09:45:00;XAUUSD;PERIOD_M15;LIVE;VALID;BUY;4382.72;2026.01.02 15:15:00;4374.44;-828.0;22;LOSS;NEXT_SIGNAL;2026.01.02 15:30:00;4374.34;-838.0;23;LOSS;REV;YES;;;;5.48;34;4377.19;4376.68;50.3;14.0;BEAR NOISE;SELL;OFF;0.89;38.19;20.08;8.17;4375.87;4388.20;4393.68;4399.17;4404.65;4410.13
2026.01.02 15:15:00;XAUUSD;PERIOD_M15;LIVE;VALID;SELL;4374.44;2026.01.02 22:15:00;4328.42;4602.0;28;WIN;NEXT_SIGNAL;2026.01.02 22:30:00;4328.74;4570.0;29;WIN;REV;YES;;;;7.87;34;4389.77;4391.27;-150.1;-14.0;BEAR;SELL;OFF;0.87;24.30;19.71;22.40;4384.27;4366.57;4358.70;4350.84;4342.97;4335.10
2026.01.02 22:15:00;XAUUSD;PERIOD_M15;LIVE;VALID;BUY;4328.42;2026.01.05 13:15:00;4417.22;8880.0;56;WIN;NEXT_SIGNAL;2026.01.05 13:30:00;4417.25;8883.0;57;WIN;REV;YES;;;;7.72;34;4321.86;4321.38;47.7;0.0;BEAR;SELL;OFF;0.81;28.20;22.88;11.06;4318.77;4336.14;4343.86;4351.58;4359.31;4367.03
2026.01.05 13:15:00;XAUUSD;PERIOD_M15;LIVE;VALID;SELL;4417.22;2026.01.05 16:30:00;4429.67;-1245.0;13;LOSS;NEXT_SIGNAL;2026.01.05 16:45:00;4430.03;-1281.0;14;LOSS;REV;YES;;;;6.87;34;4429.73;4430.25;-51.8;0.0;BULL NOISE;BUY;OFF;0.83;40.67;18.68;25.27;4425.81;4410.35;4403.48;4396.61;4389.73;4382.86
2026.01.05 16:30:00;XAUUSD;PERIOD_M15;LIVE;VALID;BUY;4429.67;2026.01.05 21:00:00;4439.97;1030.0;18;WIN;NEXT_SIGNAL;2026.01.05 21:15:00;4439.70;1003.0;19;WIN;REV;YES;;;;10.77;34;4419.91;4418.40;151.0;0.0;BULL;BUY;OFF;0.77;26.71;22.21;17.89;4416.21;4440.44;4451.21;4461.98;4472.75;4483.52
2026.01.05 21:00:00;XAUUSD;PERIOD_M15;LIVE;VALID;SELL;4439.97;2026.01.05 23:00:00;4447.10;-713.0;8;LOSS;NEXT_SIGNAL;2026.01.05 23:15:00;4447.29;-732.0;9;LOSS;REV;YES;;;;8.80;34;4443.30;4443.56;-25.8;0.0;BULL;BUY;OFF;0.84;17.74;19.29;18.21;4450.96;4431.17;4422.38;4413.58;4404.79;4395.99
2026.01.05 23:00:00;XAUUSD;PERIOD_M15;LIVE;VALID;BUY;4447.10;2026.01.06 02:00:00;4440.39;-671.0;8;LOSS;NEXT_SIGNAL;2026.01.06 02:15:00;4440.43;-667.0;9;LOSS;REV;YES;;;;6.54;40;4443.64;4443.23;40.8;0.0;BULL;BUY;OFF;0.82;13.83;23.84;15.14;4438.93;4453.64;4460.18;4466.71;4473.25;4479.79
2026.01.06 02:00:00;XAUUSD;PERIOD_M15;LIVE;VALID;SELL;4440.39;2026.01.06 04:00:00;4459.23;-1884.0;8;LOSS;NEXT_SIGNAL;2026.01.06 04:15:00;4459.55;-1916.0;9;LOSS;REV;YES;;;;6.09;34;4444.02;4444.53;-51.7;0.0;BULL;BUY;OFF;0.89;16.43;18.86;19.28;4448.00;4434.30;4428.22;4422.13;4416.05;4409.96
