event_time;symbol;timeframe;origin;signal_class;direction;signal_entry_price;signal_exit_time;signal_exit_price;signal_move_pts;signal_duration_bars;signal_result;signal_exit_reason;position_exit_time;position_exit_price;position_move_pts;position_duration_bars;position_result;position_exit_reason;executed;skip_reason;block_reason;bre_reason;atr;spread;ema_fast;slow_ma;ma_gap_pts;slow_angle_deg;vline_state;vline_dir;sw_state;sw_score;adx;di_plus;di_minus;sl;tp1;tp2;tp3;tp4;tp5
2026.01.02 01:00:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4329.47;2026.01.02 01:40:00;4339.97;1050.0;40;WIN;NEXT_SIGNAL;;;;;;;YES;;;;2.48;43;4324.70;4324.13;56.9;14.0;NO_DATA;NONE;OFF;0.89;23.12;29.33;15.63;4326.36;4331.95;4334.44;4336.92;4339.41;4341.89
2026.01.02 01:40:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4339.97;2026.01.02 01:44:00;4345.22;-525.0;4;LOSS;NEXT_SIGNAL;2026.01.02 01:45:00;4345.64;-567.0;5;LOSS;REV;YES;;;;1.33;34;4340.97;4341.19;-21.9;0.0;BULL;BUY;OFF;0.85;25.44;11.29;27.32;4341.63;4338.64;4337.32;4335.99;4334.66;4333.33
2026.01.02 01:44:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4345.22;2026.01.02 02:05:00;4345.01;-21.0;21;LOSS;NEXT_SIGNAL;2026.01.02 02:06:00;4345.06;-16.0;22;LOSS;REV;YES;;;;1.54;34;4342.17;4341.70;47.0;14.0;BULL;BUY;OFF;0.75;23.19;31.92;15.41;4343.29;4346.76;4348.31;4349.85;4351.39;4352.94
2026.01.02 02:05:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4345.01;2026.01.02 02:08:00;4348.29;-328.0;3;LOSS;NEXT_SIGNAL;2026.01.02 02:09:00;4348.48;-347.0;4;LOSS;REV;YES;;;;2.30;34;4346.36;4346.55;-18.8;0.0;BULL NOISE;BUY;OFF;0.81;20.67;24.75;25.07;4347.88;4342.71;4340.42;4338.12;4335.83;4333.53
2026.01.02 02:08:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4348.29;2026.01.02 02:19:00;4344.54;-375.0;11;LOSS;NEXT_SIGNAL;2026.01.02 02:20:01;4344.52;-377.0;12;LOSS;REV;YES;;;;1.94;34;4347.06;4346.97;9.1;0.0;BULL;BUY;OFF;0.76;20.29;28.97;16.32;4345.87;4350.23;4352.16;4354.10;4356.03;4357.97
2026.01.02 02:19:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4344.54;2026.01.02 02:30:00;4348.27;-373.0;11;LOSS;NEXT_SIGNAL;2026.01.02 02:31:00;4348.60;-406.0;12;LOSS;REV;YES;;;;1.95;34;4347.33;4347.81;-48.7;-14.0;BULL NOISE;BUY;OFF;0.70;18.18;15.27;24.39;4346.98;4342.59;4340.64;4338.69;4336.75;4334.80
2026.01.02 02:30:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4348.27;2026.01.02 03:04:00;4347.91;-36.0;34;LOSS;NEXT_SIGNAL;2026.01.02 03:05:00;4347.94;-33.0;35;LOSS;REV;YES;;;;2.05;34;4346.05;4345.85;20.7;0.0;BULL;BUY;OFF;0.54;22.36;36.02;19.54;4345.71;4350.32;4352.37;4354.42;4356.47;4358.52
2026.01.02 03:04:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4347.91;2026.01.02 03:20:00;4347.95;-4.0;16;LOSS;NEXT_SIGNAL;2026.01.02 03:21:00;4348.30;-39.0;17;LOSS;REV;YES;;;;1.79;34;4351.83;4352.42;-59.7;-26.6;BEAR NOISE;SELL;OFF;0.78;19.62;15.74;30.33;4350.14;4346.12;4344.34;4342.55;4340.76;4338.97
2026.01.02 03:20:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4347.95;2026.01.02 03:21:00;4346.19;-176.0;1;LOSS;NEXT_SIGNAL;2026.01.02 03:22:00;4346.23;-172.0;2;LOSS;REV;YES;;;;2.11;34;4348.22;4348.21;1.1;-14.0;BEAR;SELL;OFF;0.79;21.13;26.70;15.56;4345.31;4350.06;4352.17;4354.29;4356.40;4358.51
2026.01.02 03:21:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4346.19;2026.01.02 03:29:00;4349.05;-286.0;8;LOSS;NEXT_SIGNAL;2026.01.02 03:30:00;4349.42;-323.0;9;LOSS;REV;YES;;;;2.02;34;4347.77;4347.97;-19.7;0.0;BEAR;SELL;OFF;0.79;18.73;23.14;24.65;4348.72;4344.17;4342.15;4340.13;4338.10;4336.08
2026.01.02 03:29:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4349.05;2026.01.02 03:41:00;4346.36;-269.0;12;LOSS;NEXT_SIGNAL;2026.01.02 03:42:00;4346.34;-271.0;13;LOSS;REV;YES;;;;1.81;34;4347.43;4347.41;2.1;0.0;BEAR NOISE;SELL;OFF;0.79;17.69;30.96;15.37;4346.79;4350.86;4352.67;4354.48;4356.29;4358.10
2026.01.02 03:41:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4346.36;2026.01.02 03:48:00;4350.10;-374.0;7;LOSS;NEXT_SIGNAL;2026.01.02 03:49:00;4350.43;-407.0;8;LOSS;REV;YES;;;;1.62;34;4348.26;4348.60;-33.4;-14.0;BEAR;SELL;OFF;0.82;19.64;18.00;27.01;4348.39;4344.74;4343.11;4341.49;4339.87;4338.24
2026.01.02 03:48:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4350.10;2026.01.02 03:58:00;4348.46;-164.0;10;LOSS;NEXT_SIGNAL;2026.01.02 03:59:00;4348.50;-160.0;11;LOSS;REV;YES;;;;1.62;34;4348.38;4348.24;13.3;0.0;BEAR NOISE;SELL;OFF;0.91;19.63;23.05;11.84;4348.08;4351.72;4353.34;4354.95;4356.57;4358.19
2026.01.02 03:58:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4348.46;2026.01.02 04:26:00;4348.13;33.0;28;WIN;NEXT_SIGNAL;2026.01.02 04:27:00;4348.48;-2.0;29;LOSS;REV;YES;;;;1.75;34;4349.74;4349.89;-15.8;0.0;BEAR;SELL;OFF;0.89;24.27;19.24;26.61;4350.65;4346.71;4344.95;4343.20;4341.45;4339.70
2026.01.02 04:26:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4348.13;2026.01.02 05:20:00;4366.33;1820.0;54;WIN;NEXT_SIGNAL;2026.01.02 05:21:02;4366.35;1822.0;55;WIN;REV;YES;;;;1.42;34;4346.90;4346.69;20.8;0.0;BEAR NOISE;SELL;OFF;0.86;26.23;19.90;21.19;4346.35;4349.55;4350.98;4352.40;4353.83;4355.25
2026.01.02 05:20:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4366.33;2026.01.02 05:23:00;4368.61;-228.0;3;LOSS;NEXT_SIGNAL;2026.01.02 05:24:00;4368.92;-259.0;4;LOSS;REV;YES;;;;1.75;34;4366.77;4366.85;-8.4;14.0;BULL;BUY;OFF;0.83;43.28;25.45;12.55;4368.51;4364.58;4362.84;4361.09;4359.35;4357.60
2026.01.02 05:23:00;XAUUSD;PERIOD_M1;LIVE;VALID;BUY;4368.61;2026.01.02 05:55:00;4372.53;392.0;32;WIN;NEXT_SIGNAL;2026.01.02 05:56:00;4372.49;388.0;33;WIN;REV;YES;;;;1.88;34;4367.33;4367.23;10.1;14.0;BULL;BUY;OFF;0.69;37.08;26.87;11.82;4366.26;4370.49;4372.38;4374.26;4376.14;4378.03
2026.01.02 05:55:00;XAUUSD;PERIOD_M1;LIVE;VALID;SELL;4372.53;2026.01.02 05:59:00;4374.99;-246.0;4;LOSS;NEXT_SIGNAL;2026.01.02 06:00:00;4375.28;-275.0;5;LOSS;REV;YES;;;;1.52;34;4373.28;4373.31;-2.7;0.0;BULL;BUY;OFF;0.96;38.09;17.37;10.77;4374.43;4371.01;4369.49;4367.97;4366.46;4364.94
